concentration_title
개운사(서울)
경국사(서울)
길상사(서울)
길음시장
내원사(서울)
만해한용운심우장
미타사(성북)
밤나무골시장
보문사(서울)
봉국사(서울)
북악산 숙정문
상허이태준가옥(수연산방)
"서울 의릉(경종,선의왕후) [유네스코 세계유산]"
서울 정릉(신덕왕후) [유네스코 세계유산]
성락원(서울)
아리랑골목시장(정릉 아리랑 골목시장)
우리옛돌박물관
적조사(서울)
정릉시장
정법사(서울)
흥천사
