tats_cd,association_name,district_code,content_id,place_title,match_method
ce196c950c52d6a7f26097a553f7fadf,블루스퀘어,170,1439094,블루스퀘어,exact
b03fd5be6d7ab5e2e4b059d328f4c9ec,뉴서울호텔,140,142740,뉴서울호텔,exact
a8531e95cebc9158bd3ac723a8ed2eb8,원조남산왕돈까스,140,2739480,원조남산왕돈까스,exact
6ea50040d595c763bf9c2f68da18833c,호텔트래블어스/명동,140,264311,명동,substring
8665d0867059aa93df0b980c628c862e,경리단길,170,2930839,경리단길,exact
caf62084cf0647cc366482302b8f9bf5,계열사,110,3085030,부암동 계열사,substring
b9c5328de112bdd510c2904ce4843a13,숭례문,140,128162,숭례문,exact
dab2f33b38341b9756bcad667a744384,배스킨라빈스/광화문점,110,126512,광화문,substring
d43bec987a06205c72c8f924d7a336b5,삼청각,290,2685594,삼청각,exact
9a660c68fa635c3e9c4ebb8190de897e,마장축산물시장,200,1253230,마장 축산물시장,exact
1f42d1fe1580daeeca68c3bd7e6fdca2,명보아트홀,140,1022196,명보아트홀,exact
b94ac81d09e490a7b2a4a3edf96bb570,태극당/장충본점,140,2721659,태극당,substring
20c9c1c52d38f4c88b8eaed8896fb2dc,르메르디앙/서울명동점,140,264311,명동,substring
054b3899f465ac2823cffd7b7e69fa8b,리움미술관/M1,170,130525,리움미술관,substring
cc8e0f515b3541d0002360978b7151b7,민주화운동기념관,170,2775505,민주화운동기념관,exact
884988cfdaf9fd2d41512fb27aee0d46,서울공예박물관,110,2738571,서울공예박물관,exact
b14c25242ec958a985a538f1725794b7,우리옛돌박물관,290,2372228,우리옛돌박물관,exact
35b40620245d33f92227e62f5d890917,진관사,380,127558,진관사(서울),normalized
3977d357d914ec8fb5f7f8880aaf5fcf,호텔토마스명동,140,2782181,호텔토마스명동,exact
fc09ac9db23f16b889fb1a85e3fbb888,보보식당/광화문점,110,126512,광화문,substring
8de6e5b5838ea70bc46a18dea5499bec,필동면옥,140,403081,필동면옥,exact
60e52706259a44f574c8150734caa41d,성북동면옥집,290,2873293,성북동면옥집,exact
0ce0cc8fd2cab605e1f0c4ef247bdf4b,올리페페/광화문점,110,126512,광화문,substring
a8f61f2a33339f05688706e926a91626,국립어린이과학관,110,2545920,국립어린이과학관,exact
b1c6d4cae3a8705878ce01ac15d46755,애슐리퀸즈/대학로점,110,126534,대학로,substring
570bbf09ec6117258c1ecf4805361572,우래옥/본점,140,133339,우래옥,substring
